max_number,min_number,average_number,max_length,min_length,average_length
119621669468872,0,11392632195793,88,2,14
119621669475872,0,5578777430626,88,2,15
119621669482872,0,5578800686759,88,2,15
119621671531152,0,2856165442798,88,1,14
119621671531152,0,14073633374099,88,2,14
119621671531152,0,14073633418802,88,2,14
119621732954352,0,11392638315999,88,2,14
119621821679884,0,11392646724903,88,2,14
119621821679884,0,14073651107475,88,2,14
119622217601050,0,11392684303134,88,2,14
119625272807226,0,11392986012149,88,2,14
119641119419091,0,11394532656337,88,2,14
119641119426091,0,5711128621187,87,2,15
119641205570372,0,11394492681159,88,2,14
119641205570372,0,14075931788110,88,2,14
119641205577372,0,5578421404525,88,2,15
119646697638438,0,11395015925730,88,2,14
119648717687974,0,11395221973790,88,2,14
119648717687974,0,14076816040742,88,2,14
119648717694974,0,5578770851793,88,2,15
119648717694974,0,14076816118622,88,2,14
119688717701974,0,11399017731844,88,2,14
119708717708974,0,11401876499403,88,2,14
119716430035329,0,11401680164653,88,2,14
119716430035329,0,14084782465714,87,2,14
119716432083609,0,2857419227601,87,1,14
119716434131889,0,2891844987724,88,1,14
119716434131889,0,14084783098831,88,2,14
119716434138889,0,5840969206025,88,2,15
119721320221163,0,11402123600715,88,2,14
119721320228163,0,5582127270214,88,2,15
119726320235163,0,11402598839660,88,2,14
119726320235163,0,14085946436261,88,2,14
119726320235163,0,14085946452731,88,2,14
119726320235163,0,14085946523904,88,2,14
119735715902998,0,11403496521697,88,2,14
119740715909998,0,11404064898280,87,2,14
119740889898809,0,11403987016065,88,2,14
119740889898809,0,14087660733150,88,2,14
119740889898809,0,14087660764325,88,2,14
119740889898809,0,14087660786089,88,2,14
119741643053036,0,11404058913256,88,2,14
120312244414456,0,11458401142436,87,2,14
120315264421456,0,11493555747700,88,2,14
120324264428456,0,11459581290155,88,2,14
120324264428456,0,14156293222511,88,2,14
120329256907126,0,11460157015940,88,2,14
120329256907126,0,14156880689407,88,2,14
120329420053506,0,11460060017821,88,2,14
120329420060506,0,5610306506145,88,2,15
120338741094467,0,11460925588616,88,2,14
120338741094467,0,14157996621439,88,2,14
120338741101467,0,5744359338221,88,2,15
120338741101467,0,14157996714611,88,2,14
120340881108467,0,11461128446610,88,2,14
120340881108467,0,14158248503669,88,2,14
120340881108467,0,14158248551902,88,2,14
120343951605697,0,11461420874914,88,2,14
120351866762293,0,11462174699351,87,2,14
120367655367253,0,11463705030087,88,2,14
120367655374253,0,5612160901201,88,2,15
120367655381253,0,5614486484060,88,2,15
120367655388253,0,5748170433776,87,2,15
120367655395253,0,5614494610061,87,2,15
120367655395253,0,14161398789745,88,2,14
120367655395253,0,14161398871505,87,2,14
120368655302253,0,11463773711648,88,2,14
120368655302253,0,14161516588796,88,2,14
120378655215578,0,11464809571282,88,2,14
120380300445772,0,14162886652738,88,2,14
120380300445772,0,11464882859665,87,2,14
120381300452772,0,11469658163305,88,2,14
120381302501052,0,2909065669810,88,1,14
120381302501052,0,14163004723940,87,2,14
120381302501052,0,14163004845111,88,2,14
120395067216350,0,11466310958196,88,2,14
120395067216350,0,14164624356906,88,2,14
120401068202380,0,11466865478236,88,2,14
120401068209380,0,5890037363353,87,2,15
120409068216380,0,11467622456850,87,2,14
120409350193442,0,11467690327560,88,2,14
120409350200442,0,5616474787880,88,2,15
120409350200442,0,14166305076192,88,2,14
120409350207442,0,5750202659990,87,2,15
120424350214442,0,11469123727160,88,2,14
120424350214442,0,14168069979006,88,2,14
120428695703771,0,11469719879402,88,2,14
120428695710771,0,5617834482231,88,2,15
120429876778393,0,11469740902465,88,2,14
120429876785393,0,5617907043620,88,2,15
120429876792393,0,5617907555564,88,2,15
120429876785393,0,14168720344403,88,2,14
120429876792393,0,14168720398753,87,2,14
120432377295715,0,11469849958382,88,2,14
120432377295715,0,14169014642668,88,2,14
120443537302715,0,11470914750751,88,2,14
120443537302715,0,14170327601726,87,2,14
120443537309715,0,5752320320010,88,2,15
120444004209091,0,11470949884690,88,2,14
120444004209091,0,14170382556591,88,2,14
120444399160799,0,11471014061695,88,2,14
120444766846640,0,11471022516982,88,2,14
120445152871120,0,11471099205220,88,2,14
120445152871120,0,14170517809176,88,2,14
120447333489639,0,11471266872678,88,2,14
120447433496639,0,11471276293020,88,2,14
120452317004628,0,11473545564195,87,2,14
120452319052908,0,2911054130817,88,1,14
120452319059908,0,5752764070964,88,2,15
120452319066908,0,5618984441734,88,2,15
120452319073908,0,5619030953707,88,2,15
120452319080908,0,5876570180256,88,2,15
