max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
118562514960256,0,11291760242662,88,2,14,1701552673,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118566886529552,0,11292178562639,87,2,14,1701552634,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118566886529552,0,13949527255174,88,2,14,1701552629,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118566886536552,0,5657813627263,88,2,15,1701552619,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118567292560914,0,11292220341959,88,2,14,1701552596,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118567292567914,0,5526278707167,88,2,15,1701552582,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118567292574914,0,6069427903878,88,2,15,1701552565,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118567292574914,0,13949575416966,88,2,14,1701552549,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118567292581914,0,5657959886426,87,2,15,1701552546,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607028740865,0,11296084021681,88,2,14,1701552526,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607030789145,0,2829943752471,88,1,14,1701552499,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607590105062,0,11296053304042,87,2,14,1701552476,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607653056369,0,11296059108924,87,2,14,1701552444,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607745525042,0,11296067915463,88,2,14,1701552437,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607745532042,0,5528278335584,88,2,15,1701552422,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118607745532042,0,13954335285426,88,2,14,1701552413,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118609468685639,0,11296878882659,88,2,14,1701552412,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118609468685639,0,13954538101728,88,2,14,1701552397,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
